Strain Name,Virus Type,GenBank Accession,Sequence Length,Pango Genome Lineage,Collection Date,Host,GenBank Host,Country,Mol Type
ZIM/P27/90 DSA-12,Foot-and-mouth disease virus - type SAT 2,MT385637,648,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/31/89/2,Foot-and-mouth disease virus - type SAT 2,MT385636,648,-N/A-,11/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/30/89/2,Foot-and-mouth disease virus - type SAT 2,MT385635,648,-N/A-,11/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/23/89/2,Foot-and-mouth disease virus - type SAT 2,MT385634,648,-N/A-,11/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/16/89/2,Foot-and-mouth disease virus - type SAT 2,MT385633,648,-N/A-,11/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/14/89/2,Foot-and-mouth disease virus - type SAT 2,MT385632,648,-N/A-,11/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/12/89/2,Foot-and-mouth disease virus - type SAT 2,MT385631,648,-N/A-,11/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/9/89/2,Foot-and-mouth disease virus - type SAT 2,MT385630,648,-N/A-,11/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/7/89/2,Foot-and-mouth disease virus - type SAT 2,MT385629,648,-N/A-,11/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/4/89/2,Foot-and-mouth disease virus - type SAT 2,MT385628,648,-N/A-,11/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/2/89/2,Foot-and-mouth disease virus - type SAT 2,MT385627,648,-N/A-,11/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/9/88/2,Foot-and-mouth disease virus - type SAT 2,MT385626,648,-N/A-,07/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/8/88/2,Foot-and-mouth disease virus - type SAT 2,MT385625,648,-N/A-,07/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/7/88/2,Foot-and-mouth disease virus - type SAT 2,MT385624,648,-N/A-,07/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/6/88/2,Foot-and-mouth disease virus - type SAT 2,MT385623,648,-N/A-,07/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/5/88/2,Foot-and-mouth disease virus - type SAT 2,MT385622,648,-N/A-,07/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/4/88/2,Foot-and-mouth disease virus - type SAT 2,MT385621,648,-N/A-,07/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/2/88/2,Foot-and-mouth disease virus - type SAT 2,MT385620,648,-N/A-,07/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/1/88/2,Foot-and-mouth disease virus - type SAT 2,MT385619,648,-N/A-,07/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P1/98 K-14,Foot-and-mouth disease virus - type SAT 1,MT385618,663,-N/A-,Jan-98,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P1/98 K-5,Foot-and-mouth disease virus - type SAT 1,MT385617,663,-N/A-,Jan-98,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P15/97 LEMCO-5,Foot-and-mouth disease virus - type SAT 1,MT385616,663,-N/A-,Oct-97,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P15/97 LEMCO-1,Foot-and-mouth disease virus - type SAT 1,MT385615,663,-N/A-,Oct-97,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P14/97 MWA-50,Foot-and-mouth disease virus - type SAT 1,MT385614,663,-N/A-,Aug-97,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P1/96 N-54,Foot-and-mouth disease virus - type SAT 1,MT385613,663,-N/A-,Jan-96,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P1/96 K-17,Foot-and-mouth disease virus - type SAT 1,MT385612,663,-N/A-,Jan-96,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P1/96 K-13,Foot-and-mouth disease virus - type SAT 1,MT385611,663,-N/A-,Jan-96,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P1/96 K-5,Foot-and-mouth disease virus - type SAT 1,MT385610,663,-N/A-,Jan-96,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P6/95 N-7,Foot-and-mouth disease virus - type SAT 1,MT385609,663,-N/A-,Aug-95,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P4/95 SEN-12,Foot-and-mouth disease virus - type SAT 1,MT385608,663,-N/A-,May-95,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P4/95 SEN-3,Foot-and-mouth disease virus - type SAT 1,MT385607,663,-N/A-,May-95,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P9/94 LS-5,Foot-and-mouth disease virus - type SAT 1,MT385606,663,-N/A-,10-10-94,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P9/94 HWANGE-6,Foot-and-mouth disease virus - type SAT 1,MT385605,663,-N/A-,Sep-94,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P9/94 HWANGE-2,Foot-and-mouth disease virus - type SAT 1,MT385604,663,-N/A-,Sep-94,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P7/94 MT-9B,Foot-and-mouth disease virus - type SAT 1,MT385603,663,-N/A-,Aug-94,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P7/94 MT-5,Foot-and-mouth disease virus - type SAT 1,MT385602,663,-N/A-,Aug-94,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P1/94 SAVE-8,Foot-and-mouth disease virus - type SAT 1,MT385601,663,-N/A-,Jan-94,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P1/93 LS-9,Foot-and-mouth disease virus - type SAT 1,MT385600,663,-N/A-,12/21/1992,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P1/93 LS-7,Foot-and-mouth disease virus - type SAT 1,MT385599,663,-N/A-,12/21/1992,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P25/92 DI-13,Foot-and-mouth disease virus - type SAT 1,MT385598,663,-N/A-,07/31/1992,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P25/92 DI-7,Foot-and-mouth disease virus - type SAT 1,MT385597,663,-N/A-,07/31/1992,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P45/91 MT-9A,Foot-and-mouth disease virus - type SAT 1,MT385596,663,-N/A-,11-03-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P45/91 MT-6,Foot-and-mouth disease virus - type SAT 1,MT385595,663,-N/A-,11-03-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P45/91 MT-5,Foot-and-mouth disease virus - type SAT 1,MT385594,663,-N/A-,11-03-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P43/91 MAT-15,Foot-and-mouth disease virus - type SAT 1,MT385593,663,-N/A-,Oct-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P43/91 MAT-10,Foot-and-mouth disease virus - type SAT 1,MT385592,663,-N/A-,Oct-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P43/91 MAT-9,Foot-and-mouth disease virus - type SAT 1,MT385591,663,-N/A-,Oct-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P43/91 MAT-6,Foot-and-mouth disease virus - type SAT 1,MT385590,663,-N/A-,Oct-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P43/91 MAT-4,Foot-and-mouth disease virus - type SAT 1,MT385589,663,-N/A-,Oct-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P43/91 MAT-3,Foot-and-mouth disease virus - type SAT 1,MT385588,663,-N/A-,Oct-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P40/91 BUMI-2,Foot-and-mouth disease virus - type SAT 1,MT385587,663,-N/A-,Oct-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P25/91 UR-33,Foot-and-mouth disease virus - type SAT 1,MT385586,663,-N/A-,06-04-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P25/91 UR-32,Foot-and-mouth disease virus - type SAT 1,MT385585,663,-N/A-,06-04-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P25/91 UR-25,Foot-and-mouth disease virus - type SAT 1,MT385584,663,-N/A-,06-04-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P25/91 UR-11,Foot-and-mouth disease virus - type SAT 1,MT385583,663,-N/A-,06-04-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P25/91 UR-10,Foot-and-mouth disease virus - type SAT 1,MT385582,663,-N/A-,06-04-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P25/91 UR-8,Foot-and-mouth disease virus - type SAT 1,MT385581,663,-N/A-,06-04-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P25/91 UR-1,Foot-and-mouth disease virus - type SAT 1,MT385580,663,-N/A-,06-04-91,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P18/91 GN-37,Foot-and-mouth disease virus - type SAT 1,MT385579,663,-N/A-,04/22/1991,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P18/91 GN-34,Foot-and-mouth disease virus - type SAT 1,MT385578,663,-N/A-,04/22/1991,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P18/91 GN-31,Foot-and-mouth disease virus - type SAT 1,MT385577,663,-N/A-,04/22/1991,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P18/91 GN-30,Foot-and-mouth disease virus - type SAT 1,MT385576,663,-N/A-,04/22/1991,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P18/91 GN-22,Foot-and-mouth disease virus - type SAT 1,MT385575,663,-N/A-,04/22/1991,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P18/91 GN-20,Foot-and-mouth disease virus - type SAT 1,MT385574,663,-N/A-,04/22/1991,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P18/91 GN-19,Foot-and-mouth disease virus - type SAT 1,MT385573,663,-N/A-,04/22/1991,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P18/91 GN-16,Foot-and-mouth disease virus - type SAT 1,MT385572,663,-N/A-,04/22/1991,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P18/91 GN-13,Foot-and-mouth disease virus - type SAT 1,MT385571,663,-N/A-,04/22/1991,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P18/91 GN-12,Foot-and-mouth disease virus - type SAT 1,MT385570,663,-N/A-,04/22/1991,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P18/91 GN-11,Foot-and-mouth disease virus - type SAT 1,MT385569,663,-N/A-,04/22/1991,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P18/91 BC-7,Foot-and-mouth disease virus - type SAT 1,MT385568,663,-N/A-,04/22/1991,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 BUMI-14,Foot-and-mouth disease virus - type SAT 1,MT385567,663,-N/A-,11-02-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 CHER-38,Foot-and-mouth disease virus - type SAT 1,MT385566,663,-N/A-,11-11-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 CHER-33,Foot-and-mouth disease virus - type SAT 1,MT385565,663,-N/A-,11-11-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 CHER-30,Foot-and-mouth disease virus - type SAT 1,MT385564,663,-N/A-,11-11-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 CHER-29,Foot-and-mouth disease virus - type SAT 1,MT385563,663,-N/A-,11-11-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 CHER-28,Foot-and-mouth disease virus - type SAT 1,MT385562,663,-N/A-,11-11-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 CHER-27,Foot-and-mouth disease virus - type SAT 1,MT385561,663,-N/A-,11-11-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 CHER-25,Foot-and-mouth disease virus - type SAT 1,MT385560,663,-N/A-,11-11-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 CHER-22,Foot-and-mouth disease virus - type SAT 1,MT385559,663,-N/A-,11-11-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 CHER-20,Foot-and-mouth disease virus - type SAT 1,MT385558,663,-N/A-,11-11-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 CHER-18,Foot-and-mouth disease virus - type SAT 1,MT385557,663,-N/A-,11-11-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 CHER-8,Foot-and-mouth disease virus - type SAT 1,MT385556,663,-N/A-,11-11-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P30/90 CHER-2,Foot-and-mouth disease virus - type SAT 1,MT385555,663,-N/A-,11-11-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P27/90 DSA-47,Foot-and-mouth disease virus - type SAT 1,MT385554,663,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P27/90 DSA-43,Foot-and-mouth disease virus - type SAT 1,MT385553,663,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P27/90 DSA-36,Foot-and-mouth disease virus - type SAT 1,MT385552,663,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P27/90 DSA-35,Foot-and-mouth disease virus - type SAT 1,MT385551,663,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P27/90 DSA-27,Foot-and-mouth disease virus - type SAT 1,MT385550,663,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P27/90 DSA-26,Foot-and-mouth disease virus - type SAT 1,MT385549,663,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P27/90 DSA-23,Foot-and-mouth disease virus - type SAT 1,MT385548,663,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P27/90 DSA-18,Foot-and-mouth disease virus - type SAT 1,MT385547,663,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P27/90 DSA-17,Foot-and-mouth disease virus - type SAT 1,MT385546,663,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P27/90 DSA-16,Foot-and-mouth disease virus - type SAT 1,MT385545,663,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P27/90 DSA-8,Foot-and-mouth disease virus - type SAT 1,MT385544,663,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P27/90 DSA-3,Foot-and-mouth disease virus - type SAT 1,MT385543,663,-N/A-,10/20/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P26/90 HV-30,Foot-and-mouth disease virus - type SAT 1,MT385542,663,-N/A-,09/26/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P26/90 HV-29,Foot-and-mouth disease virus - type SAT 1,MT385541,663,-N/A-,09/26/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P26/90 HV-28,Foot-and-mouth disease virus - type SAT 1,MT385540,663,-N/A-,09/26/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P26/90 HV-26,Foot-and-mouth disease virus - type SAT 1,MT385539,663,-N/A-,09/26/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P26/90 HV-25,Foot-and-mouth disease virus - type SAT 1,MT385538,663,-N/A-,09/26/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P26/90 HV-24,Foot-and-mouth disease virus - type SAT 1,MT385537,663,-N/A-,09/26/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P26/90 HV-23,Foot-and-mouth disease virus - type SAT 1,MT385536,663,-N/A-,09/26/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P26/90 HV-11,Foot-and-mouth disease virus - type SAT 1,MT385535,663,-N/A-,09/26/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P26/90 HV-3,Foot-and-mouth disease virus - type SAT 1,MT385534,663,-N/A-,09/26/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P26/90 HV-2,Foot-and-mouth disease virus - type SAT 1,MT385533,663,-N/A-,09/26/1990,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P12/90 A-10,Foot-and-mouth disease virus - type SAT 1,MT385532,663,-N/A-,Apr-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P12/90 A-7,Foot-and-mouth disease virus - type SAT 1,MT385531,663,-N/A-,Apr-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/P12/90 A-5,Foot-and-mouth disease virus - type SAT 1,MT385530,663,-N/A-,Apr-90,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
ZIM/3/88/1,Foot-and-mouth disease virus - type SAT 1,MT385529,663,-N/A-,07/15/1988,Bovine,Syncerus caffer,Zimbabwe,genomic RNA
O/Qaliubia/EGY/2013,Foot-and-mouth disease virus - type O,KR261668,639,-N/A-,12/30/2013,Unknown,-N/A-,Egypt,genomic RNA
O/1/Giza/EGY/2014,Foot-and-mouth disease virus - type O,KR261669,639,-N/A-,02/19/2014,Unknown,-N/A-,Egypt,genomic RNA
O/Fayoum/EGY/2014,Foot-and-mouth disease virus - type O,KR261670,639,-N/A-,02/26/2014,Unknown,-N/A-,Egypt,genomic RNA
O/2/Giza/EGY/2014,Foot-and-mouth disease virus - type O,KR261671,639,-N/A-,03/28/2014,Unknown,-N/A-,Egypt,genomic RNA
O/Sharquia/EGY/2014,Foot-and-mouth disease virus - type O,KR261672,639,-N/A-,05-04-14,Unknown,-N/A-,Egypt,genomic RNA
O/3/Giza/EGY/2014,Foot-and-mouth disease virus - type O,KR261673,639,-N/A-,04/29/2014,Unknown,-N/A-,Egypt,genomic RNA
SAT 2/Assiut/EGY/2014,Foot-and-mouth disease virus - type SAT 2,KR261674,189,-N/A-,03-06-14,Unknown,-N/A-,Egypt,genomic RNA
FMDV/SAT2/EGY/Ismailia/2018,Foot-and-mouth disease virus - type SAT 2,MZ090097,7219,-N/A-,2018,Cattle,cattle,Egypt,genomic RNA
Egy/Alex/2018,Foot-and-mouth disease virus - type SAT 2,MN889525,256,-N/A-,Dec-18,Cattle,cattle,Egypt,genomic RNA
ETH/29/2008,Foot-and-mouth disease virus - type O,MZ868201,1990,-N/A-,09-07-08,Cattle,cattle,Ethiopia,genomic RNA
ETH/9/2008,Foot-and-mouth disease virus - type A,MZ868202,2133,-N/A-,08-01-08,Cattle,cattle,Ethiopia,genomic RNA
KEN/80/2010,Foot-and-mouth disease virus - type SAT 1,MZ868203,2145,-N/A-,03/15/2010,Cattle,cattle,Kenya,genomic RNA
ETH/65/2009,Foot-and-mouth disease virus - type SAT 2,MZ868204,2145,-N/A-,11/19/2009,Cattle,cattle,Ethiopia,genomic RNA
Egy/Alex/2018,Foot-and-mouth disease virus - type A,MT508912,690,-N/A-,Dec-18,Cattle,cattle,Egypt,genomic RNA
ZAM/1/2015,Foot-and-mouth disease virus - type A,MZ486055,639,-N/A-,02-04-15,Cattle,cattle,Zambia,genomic RNA
ZAM/4/2018,Foot-and-mouth disease virus - type A,MZ486056,639,-N/A-,10/24/2018,Cattle,cattle,Zambia,genomic RNA
ZAM/5/2018,Foot-and-mouth disease virus - type A,MZ486057,639,-N/A-,10/24/2018,Cattle,cattle,Zambia,genomic RNA
ZAM/6/2018,Foot-and-mouth disease virus - type A,MZ486058,639,-N/A-,10/24/2018,Cattle,cattle,Zambia,genomic RNA
ZAM37/18,Foot-and-mouth disease virus - type A,MZ486059,639,-N/A-,10/24/2018,Cattle,cattle,Zambia,genomic RNA
ZAM/1/2018,Foot-and-mouth disease virus - type O,MZ486060,639,-N/A-,03/24/2018,Cattle,cattle,Zambia,genomic RNA
ZAM/2/2018,Foot-and-mouth disease virus - type O,MZ486061,639,-N/A-,03/24/2018,Cattle,cattle,Zambia,genomic RNA
ZAM/3/2018,Foot-and-mouth disease virus - type O,MZ486062,639,-N/A-,04-02-18,Cattle,cattle,Zambia,genomic RNA
ZAM10/18,Foot-and-mouth disease virus - type O,MZ486063,639,-N/A-,03/27/2018,Cattle,cattle,Zambia,genomic RNA
ZAM12/18,Foot-and-mouth disease virus - type O,MZ486064,639,-N/A-,03/27/2018,Cattle,cattle,Zambia,genomic RNA
ZAM/1/2019,Foot-and-mouth disease virus - type O,MZ486065,639,-N/A-,01/18/2019,Cattle,cattle,Zambia,genomic RNA
ZAM/2/2019,Foot-and-mouth disease virus - type O,MZ486066,639,-N/A-,02-11-19,Cattle,cattle,Zambia,genomic RNA
ZAM/3/2019,Foot-and-mouth disease virus - type O,MZ486067,639,-N/A-,02-11-19,Cattle,cattle,Zambia,genomic RNA
ZAM/4/2019,Foot-and-mouth disease virus - type O,MZ486068,639,-N/A-,03-11-19,Cattle,cattle,Zambia,genomic RNA
ZAM/7/2019,Foot-and-mouth disease virus - type O,MZ486069,639,-N/A-,03/30/2019,Cattle,cattle,Zambia,genomic RNA
ZAM/8/2019,Foot-and-mouth disease virus - type O,MZ486070,639,-N/A-,03/30/2019,Cattle,cattle,Zambia,genomic RNA
ZAM06/19,Foot-and-mouth disease virus - type O,MZ486071,639,-N/A-,06/16/2019,Cattle,cattle,Zambia,genomic RNA
ZAM07/19,Foot-and-mouth disease virus - type O,MZ486072,639,-N/A-,06/28/2019,Cattle,cattle,Zambia,genomic RNA
ZAM/2/2015,Foot-and-mouth disease virus - type SAT 2,MZ486073,648,-N/A-,02/28/2015,Cattle,cattle,Zambia,genomic RNA
ZAM/9/2019,Foot-and-mouth disease virus - type SAT 2,MZ486074,648,-N/A-,04-02-19,Cattle,cattle,Zambia,genomic RNA
ZAM/10/2019,Foot-and-mouth disease virus - type SAT 2,MZ486075,648,-N/A-,04-02-19,Cattle,cattle,Zambia,genomic RNA
ZAM/11/2019,Foot-and-mouth disease virus - type SAT 2,MZ486076,648,-N/A-,04-03-19,Cattle,cattle,Zambia,genomic RNA
ZAM/12/2019,Foot-and-mouth disease virus - type SAT 2,MZ486077,648,-N/A-,04-03-19,Cattle,cattle,Zambia,genomic RNA
ZAM/3/2015,Foot-and-mouth disease virus - type SAT 3,MZ486078,654,-N/A-,10/23/2015,Cattle,cattle,Zambia,genomic RNA
ZAM08/15,Foot-and-mouth disease virus - type SAT 3,MZ486079,654,-N/A-,10/13/2015,Cattle,cattle,Zambia,genomic RNA
ZAM09/15,Foot-and-mouth disease virus - type SAT 3,MZ486080,654,-N/A-,10/13/2015,Cattle,cattle,Zambia,genomic RNA
ZAM/1/2017,Foot-and-mouth disease virus - type SAT 3,MZ486081,654,-N/A-,05/18/2017,Cattle,cattle,Zambia,genomic RNA
MAL/1/2003,Foot-and-mouth disease virus - type SAT 2,MZ486082,648,-N/A-,04/29/2003,Cattle,cattle,Malawi,genomic RNA
MAL/2/2003,Foot-and-mouth disease virus - type SAT 2,MZ486083,648,-N/A-,04/29/2003,Cattle,cattle,Malawi,genomic RNA
MAL/1/2008,Foot-and-mouth disease virus - type SAT 2,MZ486084,648,-N/A-,01-01-08,Cattle,cattle,Malawi,genomic RNA
MAL01/17,Foot-and-mouth disease virus - type SAT 2,MZ486085,648,-N/A-,08/25/2017,Cattle,cattle,Malawi,genomic RNA
MAL02/19,Foot-and-mouth disease virus - type SAT 2,MZ486086,648,-N/A-,Mar-19,Cattle,cattle,Malawi,genomic RNA
MAL01/20,Foot-and-mouth disease virus - type SAT 2,MZ486087,648,-N/A-,08/14/2020,Cattle,cattle,Malawi,genomic RNA
MAL02/20,Foot-and-mouth disease virus - type SAT 2,MZ486088,648,-N/A-,08/14/2020,Cattle,cattle,Malawi,genomic RNA
FMD/A/Egy/AHRI-RL1028/2020/VP1,Foot-and-mouth disease virus - type A,MW413345,633,-N/A-,2020,Cattle,cattle,Egypt,genomic RNA
FMDV/A/Egy/AHRI-RL996/2020/VP1,Foot-and-mouth disease virus - type A,MW413346,633,-N/A-,2020,Cattle,cattle,Egypt,genomic RNA
FMDV/A/Egy/AHRI-RV39/2020/VP1,Foot-and-mouth disease virus - type A,MW413347,633,-N/A-,2020,Cattle,cattle,Egypt,genomic RNA
FMDV/A/Egy/AHRI/RL976/2020/VP1,Foot-and-mouth disease virus - type A,MW413348,633,-N/A-,2020,Cattle,cattle,Egypt,genomic RNA
FMDV/A/Egy/AHRI/RL1007/2020/VP1,Foot-and-mouth disease virus - type A,MW413349,386,-N/A-,2020,Cattle,cattle,Egypt,genomic RNA
FMDV/A/Egy/AHRI-RV42 (1)/2020/VP1,Foot-and-mouth disease virus - type A,MW413350,633,-N/A-,2020,Cattle,cattle,Egypt,genomic RNA
FMD/A/Egy/AHRI-Rv42 (3)/2020/VP1,Foot-and-mouth disease virus - type A,MW413351,633,-N/A-,2020,Cattle,cattle,Egypt,genomic RNA
FMDV/SAT2/EGY/Behaira/2019,Foot-and-mouth disease virus - type SAT 2,OL448982,523,-N/A-,2019,Buffalo,buffalo,Egypt,genomic RNA
FMDV/SAT2/EGY/Behaira/2020,Foot-and-mouth disease virus - type SAT 2,OL448983,339,-N/A-,2020,Cattle,cattle,Egypt,genomic RNA
FMDV/SAT2/EGY/Beheria/2019,Foot-and-mouth disease virus - type SAT 2,OK558886,244,-N/A-,2019,Cattle,cattle,Egypt,genomic RNA
FMDV/SAT2/EGY/Menia/2018,Foot-and-mouth disease virus - type SAT 2,OK558887,245,-N/A-,2018,Cattle,cattle,Egypt,genomic RNA
FMDV/O/EGY/Suez/2017,Foot-and-mouth disease virus - type O,OK558888,236,-N/A-,2017,Cattle,cattle,Egypt,genomic RNA
FMDV/O/EGY/Qalubia/2009,Foot-and-mouth disease virus - type O,OK558889,227,-N/A-,2009,Cattle,cattle,Egypt,genomic RNA
FMDV/O/EGY/Assiut/2009,Foot-and-mouth disease virus - type O,OK558890,637,-N/A-,2009,Buffalo,buffalo,Egypt,genomic RNA
FMDV/O/EGY/Behaira/2019,Foot-and-mouth disease virus - type O,OL456139,254,-N/A-,2019,Cattle,cattle,Egypt,genomic RNA
FMD/A/Egy/Dakahlia/2020/VP1,Foot-and-mouth disease virus - type A,OL456140,633,-N/A-,2020,Cattle,cattle,Egypt,genomic RNA
SAR/1/13/2,Foot-and-mouth disease virus - type SAT 2,MG844290,384,-N/A-,2013,Cattle,Bos taurus,South Africa,genomic RNA
